Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
1336,Hardship ,Theirs Not to Reason Why ,4,Jean Johnson,25,1, 4.16,1663
1336,The Wilding ,In Conquest Born ,2,C.S. Friedman,25,1, 3.64,976
1340,Tsunami Blue ,Tsunami Blue ,1,Gayle Ann Williams,24,1, 3.77,391
1340,Hellburner ,The Company Wars ,5,C.J. Cherryh,24,1, 3.87,1303
1340,Protector ,Foreigner ,14,C.J. Cherryh,24,1, 4.30,1439
1343,Keeping It Real ,Quantum Gravity ,,Justina Robson,23,1, 3.47,2535
1343,Promise of the Flame ,The Hidden Flame ,2,Sylvia Engdahl,23,1, 4.05,55
1345,Exile's Gate ,Morgaine Saga ,,C.J. Cherryh,22,1, 4.08,1527
1346,The Long Tomorrow,,,Leigh Brackett,21,1, 3.64,1839
1347,Frozen Heart,,,Annabelle Blume,20,1, 3.97,65
1347,Kesrith ,The Faded Sun ,1,C.J. Cherryh,20,1, 3.98,2025
1347,The Diamond Deep ,Ruby's Song ,2,Brenda Cooper,20,1, 3.57,65
1350,Dark Host,,,Kim Knox,19,1, 3.73,15
1351,The Better Part of Valor ,Confederation ,2,Tanya Huff,18,1, 4.05,4692
1352,Valor's Trial ,Confederation ,4,Tanya Huff,17,1, 4.10,4342
1353,Dreams of the Queen ,The Brajj ,1,Jacqueline Patricks,16,1, 3.82,95
1353,Blind Space,,,Marie Sexton,16,1, 3.71,1826
1355,Among the Living ,PsyCop ,1,Jordan Castillo Price,15,1,really liked it 4.00,6877
1356,Queenie's Brigade,,,Heather Massey,14,1, 3.15,27
1356,Hellfire ,Theirs Not to Reason Why ,3,Jean Johnson,14,1, 4.10,2266
1358,The Twisted Tale of Stormy Gale ,Stormy Gale ,1,Christine  Bell,13,1, 3.47,386
1358,Don’t Bite the Sun ,Four-BEE ,1,Tanith Lee,13,1, 4.15,583
1360,Journey's End,,,Patricia Crossley,12,1,really liked it 4.00,4
1360,Dinosaur Planet Survivors ,Dinosaur Planet ,2,Anne McCaffrey,12,1, 3.65,2713
1360,Farseed ,Seed ,2,Pamela Sargent,12,1, 3.39,160
1360,Drinking Sapphire Wine ,Four-BEE ,2,Tanith Lee,12,1, 4.22,544
1364,Body Electric,,,Susan Squires,11,1, 3.50,149
1364,Generation Warriors ,Planet Pirates ,3,Anne McCaffrey,11,1, 3.94,3334
1366,Starjacked,,,Karin Shah,10,1, 3.66,62
1366,Alien Abduction ,Beastmen of Ator ,1,Kaitlyn O'Connor,10,1, 3.46,233
1368,Zazen,,,Vanessa Veselka,8,1, 3.59,1224
1369,When Minds Collide ,,,Marjorie F. Baldwin,7,1, 4.07,27
1370,Synthetic Dreams,,,Kim Knox,6,1, 3.79,63
1370,Lifegame,,,Alison Allen-Gray,6,1, 3.91,66
1372,Alien Seduction ,, 2,Jeanine Berry,5,1, 3.25,4
1372,Fire & Frost,,,Meljean Brook,5,1, 3.84,877
1372,The Inheritance,,,Robin Hobb,5,1, 3.96,3197
1372,Children of the Dust,,,Louise Lawrence,5,1, 3.97,1612
1376,The Sex Gates ,Sex Gates ,1,Jeanine Berry,4,1, 3.58,106
1376,Mizora: A Prophecy,,,Mary E. Bradley Lane,4,1, 2.95,88
1376,Northwest of Earth: The Complete Northwest Smith,,,C.L. Moore,4,1, 3.87,250
1379,Tiger of Talmare ,Frontiers of Love ,1,Nina Croft,3,1, 3.29,398
1379,Girl Gone Nova ,Project Enterprise ,2,Pauline Baird Jones,3,1, 4.15,171
1379,Black on Black ,Heyoka Blackeagle ,1,K.D. Wentworth,3,1, 3.53,423
1382,Blue Nebula,,,Diane Dooley,2,1, 3.85,13
1382,Stars Over Stars ,Heyoka Blackeagle ,2,K.D. Wentworth,2,1, 3.68,297
1384,Heart of Steel ,Iron Seas ,2,Meljean Brook,1,1, 3.95,5447
1384,The Imperium Game,,,K.D. Wentworth,1,1, 3.14,35
