Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
420,An Airship Named Desire ,Take to the Skies ,1,Katherine McIntyre,200,2, 3.73,86
420,Frontier Resistance,,,Leonie Rogers,200,2, 4.24,124
420,Ultraxenopia ,Project W.A.R. ,,M.A. Phipps,200,2, 4.13,285
420,Emergence ,Project Emergence ,1,Jamie Zakian,200,2, 3.29,17
420,Blachart,,,Christina Engela,200,2, 4.08,13
420,No Ordinary Star ,No Ordinary Star ,1,M.C. Frank,200,2, 3.98,281
420,Republic's Chosen ,After The World Ends ,1,Rori I.,200,2, 4.06,31
420,Search Image ,Web Shifter's Library ,,Julie E. Czerneda,200,2, 4.11,64
420,Insatiable Machine,,,Zoe Robertson,200,2, 4.24,17
420,Astraeus,,,Haley Cavanagh,200,2, 4.23,52
420,UNJU - The Jump,,,Gleneley Stander,200,2,it was amazing 5.00,3
436,The Stolen: Two Short Stories,,,Michelle Browne,199,2, 4.04,78
436,Broken Time,,,Emily Devenport,199,2, 3.73,98
438,The Crooked God Machine,,,Autumn Christian,198,2, 3.86,215
438,Frontier Incursion,,,Leonie Rogers,198,2, 4.27,191
440,Double Life ,Razia ,1,S. Usher Evans,197,2, 3.97,158
440,Magic Bleeds ,Kate Daniels ,4,Ilona Andrews,197,3, 4.46,64290
440,Semiosis ,Semiosis Duology ,1,Sue Burke,197,2, 3.94,4344
443,Hero's End ,The Black Wing Chronicles ,2,J.C. Cassels,196,2, 4.17,46
443,Binary ,®Evolution ,2,Stephanie Saulter,196,2, 4.14,114
445,Shelter,,,Susan Palwick,195,3, 3.88,293
445,Tales From The SFR Brigade,,,J.C. Cassels,195,2, 3.67,326
445,A Few Good Men ,Darkship ,3,Sarah A. Hoyt,195,2, 3.73,218
448,Star Attraction,,,Misa Buckley,194,2, 4.50,4
448,Gunmetal Magic ,,5.5,Ilona Andrews,194,3, 4.28,28957
448,Angelfall ,Penryn & the End of Days ,1,Susan Ee,194,2, 4.17,147820
451,Stealer of Souls ,Immortal ,3,Valjeanne Jeffers,193,2, 4.71,28
451,Thinner Than Thou,,,Kit Reed,193,2, 3.17,370
451,Transcendence: Aurora Rising Book Three ,Aurora Rhapsody ,3,G.S. Jennsen,193,2, 4.32,877
451,Time Shifters,,,Shanna Lauffey,193,2, 3.89,44
455,Groundties,,,Jane S. Fancher,192,3, 3.64,96
455,Heat,,,R. Lee Smith,192,2, 3.81,1845
455,Hunted ,Sinners ,2,Abi Ketner,192,2, 4.13,1093
458,Spin Control ,Spin Trilogy ,2,Chris Moriarty,191,3, 3.78,974
458,Perseus Spur ,Rampart Worlds ,,Julian May,191,2, 3.65,631
458,Gethyon,,,Pippa Jay,191,2, 4.62,24
458,"Lightspeed Magazine, June 2014: Women Destroy Science Fiction! Special Issue",,,Christie Yant,191,3, 4.12,598
462,The Kif Strike Back ,Chanur ,3,C.J. Cherryh,190,5, 4.09,2238
462,The Power,,,Naomi Alderman,190,2, 3.85,105880
464,Towers of Darkover ,,,Marion Zimmer Bradley,189,3, 3.91,834
464,Chanur's Legacy ,Chanur ,,C.J. Cherryh,189,4, 4.09,1960
464,Carve the Mark ,Carve the Mark ,1,Veronica Roth,189,2, 3.77,47813
467,Tin Cat,,,Misa Buckley,188,2, 4.15,26
467,Crescent City Rhapsody ,Nanotech ,3,Kathleen Ann Goonan,188,2, 3.66,246
467,Her Cyborg Awakes ,Diaspora Worlds ,1,Melisse Aires,188,2, 3.41,505
467,The House on the Strand,,,Daphne du Maurier,188,2, 3.85,8416
467,Ronan ,Ziva Payvan ,3,E.J. Fisch,188,2, 4.40,45
472,Fallen Too Far ,Rosemary Beach #1; Too Far ,1,Abbi Glines,187,2, 4.19,152450
473,Alanya to Alanya,,,L. Timmel Duchamp,186,2, 3.65,97
473,Shadow Leader ,Wolfwalker ,2,Tara K. Harper,186,2, 4.09,561
473,Unknown Futures ,1Night Stand ,,Jessica E. Subject,186,2, 3.71,49
476,Shadow Team GB,,,J M Johnson,185,2,it was amazing 5.00,4
477,Glass and Amber,,,C.J. Cherryh,184,3, 3.96,27
478,Alliance Space (Company Wars #2),The Era of Rapprochement ,,C.J. Cherryh,183,3, 4.22,366
478,Pilots Choice ,,5-6,Sharon Lee,183,3, 4.52,710
478,Dragondrums ,Harper Hall ,3,Anne McCaffrey,183,3, 4.06,30614
478,Origin ,Lux ,4,Jennifer L. Armentrout,183,2, 4.41,77981
482,Red Sun of Darkover ,,,Marion Zimmer Bradley,182,3, 3.85,1101
483,Sunfall,,,C.J. Cherryh,181,3, 3.70,333
484,Remake,,,Connie Willis,180,4, 3.37,1672
484,Transformation Space ,Sentients of Orion ,4,Marianne de Pierres,180,2, 3.98,102
484,The People of Sparks,,,Jeanne DuPrau,180,2, 3.66,48013
487,Rebels and Lovers ,Dock Five Universe ,4,Linnea Sinclair,179,3, 3.93,872
487,Snows of Darkover ,,,Marion Zimmer Bradley,179,3, 3.82,692
487,Found ,The Missing ,1,Margaret Peterson Haddix,179,2, 3.98,35689
490,Replica ,Replica ,1,Jenna Black,178,2, 3.45,948
490,The Golden Sword ,Silistra ,2,Janet E. Morris,178,2, 4.26,103
492,The Good House,,,Tananarive Due,177,2, 3.92,2712
492,The Complete Ivory ,,1-3,Doris Egan,177,3, 4.18,259
492,Ratha's Creature ,The Named ,1,Clare Bell,177,2, 4.04,1935
492,The Moon's Shadow ,Saga of the Skolian Empire ,8,Catherine Asaro,177,2, 3.94,793
492,Honor's Knight ,Paradox ,,Rachel Bach,177,2, 3.98,7781
492,Heaven's Queen  ,Paradox ,,Rachel Bach,177,2, 3.95,6068
492,Anthem,,,Ayn Rand,177,2, 3.63,120829
499,Enchanted Glass,,,Diana Wynne Jones,176,2, 3.87,5165
499,Ghost in the Machine ,Corwint Central Agent Files ,1,C.E. Kilgore,176,2, 3.67,325
501,The Hounds of Skaith ,The Book of Skaith ,2,Leigh Brackett,175,2, 3.73,290
501,Pandemonium ,Delirium ,2,Lauren Oliver,175,2, 4.06,208371
501,The Planet Savers & The Sword of Aldones ,,19-20,Marion Zimmer Bradley,175,3, 3.79,683
501,Damia ,The Tower and the Hive ,2,Anne McCaffrey,175,2,really liked it 4.00,11160
505,The Machine's Child ,The Company ,7,Kage Baker,174,3, 3.87,1220
506,Sovran's Pawn,,,J.C. Cassels,173,2, 3.96,121
506,The Star Thief ,Star Thief Chronicles ,1,Jamie Grey,173,2, 3.50,1755
508,Heavy Time ,The Company Wars ,4,C.J. Cherryh,172,3, 3.79,1560
508,End of Days ,Penryn & the End of Days ,3,Susan Ee,172,2, 4.10,49109
508,A Thousand Pieces of You ,Firebird ,1,Claudia Gray,172,2, 3.92,40844
511,Razor's Edge ,Star Wars: Empire and Rebellion ,1,Martha Wells,171,3, 3.70,2210
511,Starbridge ,Starbridge ,1,A.C. Crispin,171,2, 3.85,441
513,Kalpa Imperial: The Greatest Empire That Never Was,,,Angélica Gorodischer,170,2, 3.97,757
513,The Summer Queen ,The Snow Queen Cycle ,3,Joan D. Vinge,170,3, 4.05,3018
515,Downside Girls,,,Jaine Fenn,168,2, 3.94,86
515,Starheart ,Ptorix Empire ,3,Greta van der Rol,168,2, 3.77,78
515,Ancient Light ,Orthe ,,Mary Gentle,168,2, 3.64,346
515,Golden Witchbreed ,Orthe ,,Mary Gentle,168,2, 3.73,986
519,Mirror Space ,Sentients of Orion ,3,Marianne de Pierres,167,2, 3.98,114
519,Feed ,Newsflesh Trilogy ,1,Mira Grant,167,2, 3.85,48186
521,The Two Of Them,,,Joanna Russ,166,2, 3.60,186
521,The Awakening ,Vampire Huntress ,2,L.A. Banks,166,2, 3.99,3341
521,Venus of Dreams,,,Pamela Sargent,166,2, 3.58,192
521,Outside,,,Andre Norton,166,2, 3.85,86
521,A Ring of Endless Light ,Austin Family ,4,Madeleine L'Engle,166,2, 4.15,17762
521,Jagannath,,,Karin Tidbeck,166,2, 4.07,2616
527,Herland,,,Charlotte Perkins Gilman,165,4, 3.50,12868
528,A Mere Formality,,,Ilona Andrews,164,2, 3.89,2352
528,The Hundred Thousand Kingdoms ,Inheritance Trilogy ,1,N.K. Jemisin,164,2, 3.84,42887
530,DarkShip Thieves ,Darkship ,1,Sarah A. Hoyt,163,2, 3.59,1672
530,Superluminal,,,Vonda N. McIntyre,163,3, 3.65,220
530,Ghost Planet,,,Sharon Lynn Fisher,163,3, 3.60,1539
530,The Vulcan Academy Murders,,,Jean Lorrah,163,2, 3.88,1754
534,Four Moons of Darkover ,,,Marion Zimmer Bradley,162,3, 3.84,538
535,Pangaea  Book I: Imperium Without End,,,Lisa Mason,161,2, 3.73,22
535,Keir,,,Pippa Jay,161,2, 3.70,243
535,Key Out of Time ,Time Traders / Ross Murdock ,,Andre Norton,161,2, 3.84,1206
538,Wreck of the Nebula Dream,,,Veronica  Scott,160,2, 3.96,287
539,Æstival Tide,,,Elizabeth Hand,159,2, 3.98,266
539,The House Between the Worlds,,,Marion Zimmer Bradley,159,2, 3.74,859
541,Pilgrimage: The Book of the People,,,Zenna Henderson,157,3, 4.34,1318
542,The Bones of the Sea,,,Pippa Jay,156,2, 4.29,34
543,Hexwood,,,Diana Wynne Jones,154,2, 3.99,3865
543,Brain Camp,,,Susan Kim,154,2, 3.67,3464
543,Glass Houses ,The Morganville Vampires ,1,Rachel Caine,154,2, 3.92,87647
543,Ironhaven,,,Misa Buckley,154,2, 3.70,23
543,Tinker ,Elfhome ,1,Wen Spencer,154,5, 4.07,4873
548,Many Waters ,Time Quintet ,4,Madeleine L'Engle,153,2, 3.99,40340
549,The Key ,Project Enterprise ,1,Pauline Baird Jones,152,2, 3.82,472
549,The Time Travelers ,The Gideon Trilogy ,1,Linda Buckley-Archer,152,2, 3.72,6155
551,Celestial Seduction ,1Night Stand ,17,Jessica E. Subject,151,2, 3.80,142
552,Nylon Angel ,Parrish Plessis ,1,Marianne de Pierres,150,2, 3.51,617
553,Cloud's Rider ,Finisterre ,,C.J. Cherryh,149,3, 3.93,773
553,The Telling ,Hainish Cycle ,,Ursula K. Le Guin,149,2, 3.90,5089
555,Stretto,,,L. Timmel Duchamp,148,2, 4.32,25
555,Moreta: Dragonlady of Pern ,Pern ,7,Anne McCaffrey,148,4, 3.99,24862
555,America Pacifica,,,Anna North,148,2, 3.08,962
558,Renegade,,,L. Timmel Duchamp,145,2, 3.95,38
558,An Exchange of Hostages ,Jurisdiction ,1,Susan R. Matthews,145,2, 3.88,443
558,Tangled Up in Blue ,The Snow Queen Cycle ,4,Joan D. Vinge,145,4, 3.61,558
558,Burn for Me ,Hidden Legacy ,1,Ilona Andrews,145,2, 4.34,33490
562,Testament ,Harmony of Worlds ,1,Valerie J. Freireich,144,2, 3.95,55
562,Daughters of the North,,,Sarah Hall,144,2, 3.39,3381
562,Silently and Very Fast,,,Catherynne M. Valente,144,2, 4.12,1529
562,Magic Gifts ,,5.4,Ilona Andrews,144,2, 4.35,17568
566,Unraveled ,UN-Forgettable ,2,C.J. Barry,143,2, 3.89,259
567,The Exile Waiting,,,Vonda N. McIntyre,141,3, 3.61,355
568,The Girl Who Was Plugged In/Screwtop,,,James Tiptree Jr.,140,3, 3.94,283
569,The Lost Steersman ,The Steerswoman ,3,Rosemary Kirstein,139,2, 4.25,1145
569,The Eyes of the Beholders ,Star Trek: The Next Generation ,13,A.C. Crispin,139,2, 3.49,987
571,Hestia,,,C.J. Cherryh,138,3, 3.50,402
571,Migration ,Species Imperative ,2,Julie E. Czerneda,138,2, 4.08,1229
571,Gate of Ivrel,,,C.J. Cherryh,138,4, 3.93,2207
574,The Visitor,,,Sheri S. Tepper,137,2, 3.80,1700
574,The Language of Power ,The Steerswoman ,4,Rosemary Kirstein,137,2, 4.33,1012
574,Promised ,Birthmarked ,3,Caragh M. O'Brien,137,2, 3.77,13881
574,Darkship Renegades ,Darkship ,2,Sarah A. Hoyt,137,2, 3.76,373
578,The Age of Miracles,,,Karen Thompson Walker,136,2, 3.64,78491
578,A Drunken Dream and Other Stories,,,Moto Hagio,136,2, 4.13,853
580,"Spirit: or, The Princess of Bois Dormant",,,Gwyneth Jones,135,2, 3.52,101
580,Prized ,Birthmarked ,2,Caragh M. O'Brien,135,2, 3.98,22405
582,Uplink ,Netwalkers ,2,Jane S. Fancher,134,2, 3.72,60
582,In the Light of Sigma Draconis ,A Woman of the Iron People ,1,Eleanor Arnason,134,2, 3.80,35
582,Altered ,Crewel World ,2,Gennifer Albin,134,2, 3.68,4418
585,Driven ,Northern Waste ,1,Eve Kenin,133,3, 3.64,1741
585,Birthmarked ,Birthmarked ,1,Caragh M. O'Brien,133,2, 3.89,43379
587,My Soul to Keep ,African Immortals ,1,Tananarive Due,132,2, 4.18,3968
587,Arachne,,,Lisa Mason,132,2, 3.57,77
587,The Birthgrave ,Birthgrave ,1,Tanith Lee,132,3, 3.76,1364
590,The Program ,The Program ,1,Suzanne Young,131,2, 4.06,39644
590,Crewel ,Crewel World ,1,Gennifer Albin,131,2, 3.73,17088
592,Jenna Starborn,,,Sharon Shinn,130,2, 3.30,1911
593,Mindplayers,,,Pat Cadigan,129,2, 3.76,574
593,Adventures in Time and Space with Max Merriwell,,,Pat Murphy,129,2, 3.48,170
595,Nebula's Music,,,Aubrie Dionne,127,2, 4.21,28
595,The Lancaster Rule ,Lancaster ,1,T.K. Toppin,127,2, 4.37,41
595,"After the Fall, Before the Fall, During the Fall",,,Nancy Kress,127,3, 3.47,2404
598,Fools,,,Pat Cadigan,126,2, 3.71,362
598,Wolf Who Rules ,Elfhome ,2,Wen Spencer,126,4, 4.20,2823
600,Dark Space ,Sentients of Orion ,1,Marianne de Pierres,125,2, 3.35,318
601,Brothers of Earth ,Hanan Rebellion ,,C.J. Cherryh,123,2, 3.70,506
601,Taylor's Ark ,,,Jody Lynn Nye,123,2, 3.77,151
603,Hellspark,,,Janet Kagan,122,2, 4.42,740
604,Falcon,,,Emma Bull,120,2, 3.82,478
604,Beholder's Eye ,Web Shifters ,1,Julie E. Czerneda,120,2, 3.96,1520
604,Hope's Folly ,Dock Five Universe ,3,Linnea Sinclair,120,2, 3.98,1328
607,Hunter of Worlds ,Hanan Rebellion ,,C.J. Cherryh,119,2, 3.81,568
607,Breathe ,Breathe ,1,Sarah Crossan,119,2, 3.70,16210
607,XVI ,XVI ,1,Julia Karr,119,2, 3.45,7616
610,The Anything Box,,,Zenna Henderson,118,2, 4.31,699
611,Forge of Heaven ,The Gene Wars ,2,C.J. Cherryh,117,4, 3.79,678
611,Up the Walls of the World,,,James Tiptree Jr.,117,2, 3.97,632
613,Wraeththu ,,,Storm Constantine,116,2, 3.94,2482
614,Hunters of the Red Moon,,,Marion Zimmer Bradley,115,2, 3.83,1037
615,vN ,The Machine Dynasty ,1,Madeline Ashby,113,2, 3.43,2673
615,Ten Thousand Light-Years From Home,,,James Tiptree Jr.,113,2, 3.99,522
617,The Stars Down Under ,The Outback Stars ,,Sandra McDonald,112,3, 3.41,239
618,Karen Memory ,Karen Memory ,1,Elizabeth Bear,111,2, 3.74,3920
619,The Creative Fire ,Ruby's Song ,,Brenda Cooper,109,2, 3.01,223
619,Burndive ,Warchild ,,Karin Lowachee,109,2, 3.92,799
621,Crystal Line ,Crystal Singer ,,Anne McCaffrey,107,2,really liked it 4.00,10290
622,Cagebird ,Warchild ,,Karin Lowachee,106,2, 4.01,714
623,North Wind ,White Queen ,2,Gwyneth Jones,105,2, 3.37,70
623,Principles of Angels,,,Jaine Fenn,105,2, 3.50,248
625,Caught in Amber,,,Cathy Pegau,104,2, 3.50,161
626,Blue Galaxy,,,Diane Dooley,103,2, 2.95,78
626,Made for Her,,,Jessica E. Subject,103,2, 3.65,57
628,The Mirror,,,Marlys Millhiser,102,2, 4.04,4269
629,The Ginger Star ,The Book of Skaith ,1,Leigh Brackett,100,1, 3.75,419
629,The Immortality Virus,,,Christine Amsden,100,1, 3.69,154
629,An Uncommon Whore ,An Uncommon Whore ,,Belinda McBride,100,1, 3.63,2018
629,Astra: The Harrowing,,,Lisa Eskra,100,1, 4.07,41
629,A Matter of Honor ,Knife of Truth ,1,Ruth Willerth,100,2, 4.14,21
629,The Edge of Darkness,,,Lissa Bilyk,100,1, 3.63,52
629,Dreamer's Island,,,Gretchen Hummel,100,1, 4.25,20
629,Singularity ,Sanctuary series ,,Jess Anastasi,100,1,it was amazing 5.00,
629,The Cantor Dimension,,,Sharon Delarose,100,1,really liked it 4.00,20
629,Wolf Dawn ,Forsaken Worlds ,1,Susan  Cartwright,100,1, 3.61,307
629,"Tierra del Fuego, Colony Ship; Parting Shots",,,Caron Cro,100,1, 4.16,19
629,21 Erased,,,Barbara Rayne,100,1, 3.29,42
629,The Marcella Fragment,,,Anna LaForge,100,1, 3.83,23
629,The Willow and the Stone,,,Tamara Jock,100,1, 4.75,4
629,The Priest ,Ginecean Chronicles ,1,Monica La Porta,100,1, 3.72,162
629,Sunburst,,,Phyllis Gotlieb,100,1, 3.56,62
629,Blood and Matzah,,,Christine  Brown,100,1, 3.77,13
629,Dementional,,,Tonya Cannariato,100,1, 4.11,18
629,A week in the future : Catherine Helen Spence's 1888 forecast of life in 1988,,,Catherine Helen Spence,100,1, 3.54,13
629,Dream of Time,,,Nancy J. Price,100,1, 3.86,66
629,Bounty Hunter,,,S.J. Hollis,100,1, 4.08,89
629,The Earth Girl and Queen Eliza,,,C.C. Alma,100,1, 3.89,36
629,The Neanderthal's Aunt,,,Gina DeMarco,100,1, 3.87,92
629,Legendary Detective at the World's End,,,Kaye Wagner,100,1, 3.25,195
629,Time Travels: The First Adventures,,,J.S. Blackman,100,1, 4.38,8
629,Legacy Code ,Legacy Code ,,Autumn Kalquist,100,1, 3.39,1782
629,Women's Work,,,Kari Aguila,100,1, 3.69,121
629,Fomatsu,,,Anna  Hammond,100,1, 3.80,5
629,The Third Sign,,,Michelle O'Leary,100,1, 3.91,98
629,Natural History,,,Justina Robson,100,1, 3.61,607
629,Cimmerian City ,Cimmerian ,1,Rae Lori,100,1,really liked it 4.00,24
629,Ange'el,,,Jamie Le Fay,100,1, 3.70,20
629,Dining Out Around the Solar System ,Dining Out Around The Solar System ,1,Clare O'Beara,100,1, 4.28,39
629,The Extraction List ,The Extraction List ,1,Renee N. Meland,100,1, 4.07,90
629,The Ark,,,Annabel Smith,100,1, 4.03,61
629,Genetically Altered ,Genetically Modified ,1,Tracie Molton,100,1, 3.29,14
629,Dog Aliens 1: Raffle's Name ,Dog Aliens ,,Cherise Kelley,100,1, 3.59,306
629,Falaha's Journey: A Spacegirl's Account in Three Movements,,,Jeno Marz,100,1, 4.19,16
629,Dark Prophet ,The Chronicles of Koa ,,K.N. Lee,100,1, 4.31,176
629,Lessons in Space,,,Molly Tabachnikov,100,1, 3.75,4
629,The Least of Elves ,,0.5,Robin Glassey,100,1, 4.65,34
629,The Dream Crystals of Gandara,,,Charlotte McGary,100,1, 4.50,6
629,Compile: Quest ,The Corrupted SUN Script ,1,Ronel van Tonder,100,1, 4.26,47
629,The Crossing Hour,,,Quoleena Sbrocca,100,1, 3.80,46
629,Return to Emerald City,,,Allyson Lindt,100,1,really liked it 4.00,11
629,Gemsigns ,®Evolution ,1,Stephanie Saulter,100,1, 3.80,419
629,Where the Deer Dwell,,,Dorothy Gravelle,100,1, 3.73,67
629,Hero is a Man ,Glyph Warrior ,,Nix Whittaker,100,1, 4.18,28
629,Transmutation of Noah,,,C.S. Royce,100,1, 4.67,3
629,Amber Smoke ,The Escaped ,,Kristin Cast,100,1, 3.39,1291
629,Captured By The Hunter,,,Britt DeLaney,100,1, 4.20,10
629,Time's Tempest ,The Chronicles of Xannia ,1,M.J. Moores,100,1, 4.56,25
629,The Webs of Varok ,The Archives of Varok ,,Cary Neeper,100,1,really liked it 4.00,13
629,Nothing But Your Memories,,,H.B. Clementine,100,1, 3.13,15
629,Starquest ,,,Hywela Lyn,100,1, 4.43,21
629,The Generation,,,Holly Cave,100,1, 3.69,93
629,Talismen: Birthstones,,,Elizabeth C. Robinson,100,1,it was amazing 5.00,2
629,The Battle of Castle Nebula ,The Cendrillon Cycle ,1,Stephanie Ricker,100,1, 4.08,52
629,A Far Far Better Thing ,Legends of the Goldens ,,S.B.K. Burns,100,1, 3.29,34
629,Connected: The Call,,,Michelle Medhat,100,1, 3.76,42
629,Vagabond,,,J.D. Brewer,100,1, 4.18,74
629,Crossing in Time ,Between Two Evils ,1,D.L. Orton,100,1, 4.10,449
629,Auguries of Dawn ,,,Peyton Reynolds,100,1, 4.06,109
629,The Adventures of Armstrong Dent: The Complete First Season,,,Aeyess,100,1, 4.56,25
629,The In-Betweener,,,Ann Christy,100,1, 3.91,732
629,Talwan's Vengeance,,,Christy  Newman,100,1, 4.37,19
629,Revealing the Revolution ,AIM Chronicles ,1,N.M. Sotzek,100,1, 4.25,12
629,Being Human,,,Christina Grant,100,1, 4.67,24
629,Earth ,The Invasion Trilogy ,,Jessica Frances,100,1, 3.82,105
629,Dreamland Tree,,,Cynthia Farr-Weinfeld,100,1, 4.75,4
629,Mars on the Rise ,Veetu Industries ,1,Rae Gee,100,1, 3.69,72
629,Deadly Lover,,,Charlee Allden,100,1, 3.88,94
629,The Ghost Files ,The Ghost Files ,1,Apryl Baker,100,1, 4.14,7939
629,Lahkia: Heir of Darkness,,,Suzanne Ripley,100,1, 4.38,13
629,The Vista ,The Wildblood ,1,S.A. Hoag,100,1, 4.64,14
629,Lazarus Code,,,Sharon VanOrman,100,1, 4.54,13
629,The Stars Seem so Far Away,,,Margrét Helgadóttir,100,1, 3.67,33
629,The Nyxers,,,Fémi Peters,100,1,it was amazing 5.00,
629,Waterstone,,,Priscilla Reno,100,1,really liked it 4.00,13
629,Uncommon Animals: Omnibus Edition,,,Kate   Whitaker,100,1, 4.33,6
629,The Memory Painter,,,Gwendolyn Womack,100,1, 3.84,2864
629,Above the Sky ,Above the Sky ,,Jenny Lynne,100,1, 4.23,299
629,Population ,Population ,1,Elizabeth  Stephens,100,1, 4.18,294
629,The Mirror Empire ,Worldbreaker Saga ,1,Kameron Hurley,100,1, 3.49,4012
629,Laira,,,Clea Saal,100,1,it was amazing 5.00,
629,The Human and the Hunted ,Rise of the Great Assembly ,1,R.A. Burg,100,1, 3.67,3
629,The Right Thing Hurts,,,Ruby Debeau,100,1, 3.50,14
629,The Toxic Children,,,Tessa Maurer,100,1,it was amazing 5.00,4
629,The Cerulean Star: LIBERTY,,,Sharon Cramer,100,1, 4.16,25
629,Salvage,,,C. Addams,100,1, 0.00,0
629,For A Brother's Honor ,The Protectorit ,3,K.L. Tharp,100,1, 4.78,36
629,Passage of Destiny,,,Deborah L. Pearson,100,1, 4.50,2
629,Illuminae ,The Illuminae Files ,1,Amie Kaufman,100,1, 4.31,86905
629,Off-Worlders,,,S.S. Delaunay,100,1,it was amazing 5.00,
629,Wide Awake Asleep,,,Louise Wise,100,1, 4.15,20
629,Leviathan's Deep,,,Jayge Carr,100,1, 3.88,48
629,Sand Runner ,Sand Runner ,1,Vera Brook,100,1, 3.94,49
629,Le Goût de l'immortalité,,,Catherine Dufour,100,1, 3.58,106
629,Caledonia ,Caledonia ,,Amy Hoff,100,1, 4.05,38
629,The Continuum ,Place in Time ,1,Wendy Nikel,100,1, 3.86,214
629,Sputnik's Children,,,Terri Favro,100,1, 3.84,141
629,Free Beast,,,Suzanne Marine,100,1,it was ok 2.00,3
629,Vicious ,Villains ,1,V.E. Schwab,100,1, 4.26,65980
629,Kingdom of Women,,,Rosalie Morales Kearns,100,1, 4.30,30
629,After Bees,,,B.C. Nyren,100,1, 4.09,67
629,Dawn Among the Stars,,,Samantha Heuwagen,100,1, 4.48,48
629,The Solterian Keeper and the Enchanted Talisman,,,R.K. Appling,100,1,it was amazing 5.00,4
629,The Rise of Saint Fox and The Independence,,,Corin Reyburn,100,1,it was amazing 5.00,3
629,Mary Brooks:  A matter of time,,,Claire Rye,100,1, 4.50,2
629,The Tristan Bay Accord ,,,Lizzie Newell,100,1,it was amazing 5.00,2
629,The Antithesis: Renovatio,,,Terra Whiteman,100,1, 4.25,52
629,The Cairo Accord ,,,Georgia  Knight,100,1, 4.42,12
629,The Prisoner ,Olrona ,,Sara Allyn,100,1, 4.10,21
629,Apocalypse Five ,,,Stacey Rourke,100,1, 4.07,70
629,Carmen Dog,,,Carol Emshwiller,100,1, 3.52,219
629,After Annihilation: Would you want to survive?,,,Gauri Mittal,100,1,really liked it 4.00,63
629,Elementals: Mystic Warriors,,,Katherine  Moore,100,1, 4.78,36
629,The Samurai's Lover ,Keepers of Xereill ,4,Alix Nichols,100,1, 4.42,53
629,Träume Digitaler Schläfer,,,Anja Kümmel,100,1,really liked it 4.00,7
629,Leaning On Water,,,Joan June Chen,100,1, 4.03,35
749,Healing in His Wings ,Healing ,,Ariel Tachna,99,1, 3.66,339
749,Astra: The Reckoning,,,Lisa Eskra,99,1, 4.29,41
749,To Indigo,,,Tanith Lee,99,1, 3.57,14
749,Savior ,,,Jess Anastasi,99,1, 4.50,2
749,Evolve,,,Barbara Rayne,99,1, 3.85,13
749,Pax in the Land of Women ,The Ginecean Chronicles ,2,Monica La Porta,99,1, 4.23,31
749,The Highest Frontier,,,Joan Slonczewski,99,1, 3.43,416
749,The Earth Boy and Mr. Brown / Robots in Love,,,C.C. Alma,99,1, 3.32,19
749,Into the Forest,,,Jean Hegland,99,1, 3.79,10039
749,Limit of Vision,,,Linda Nagata,99,1, 3.63,272
749,Silver Screen,,,Justina Robson,99,1, 3.59,251
749,The Ophelia Prophecy,,,Sharon Lynn Fisher,99,1, 3.42,306
749,A Feast of Shadows ,Cimmerian ,2,Rae Lori,99,1, 4.83,6
749,Paragon ,Legacy Code ,2,Autumn Kalquist,99,1, 3.81,542
749,Last Night in Ghosttown,,,Kathryn McKade,99,1, 4.17,6
749,Netherworld ,The Chronicles of Koa ,,K.N. Lee,99,1, 3.78,466
749,The Amazing Wolf Boy,,,Roxanne Smolen,99,1, 4.63,35
749,Changeling: Book Three of the Seeder Saga,,,Britt DeLaney,99,1, 4.18,11
749,Children Of The Mist,,,Hywela Lyn,99,1,it was amazing 5.00,14
749,Charango,,,Elizabeth C. Robinson,99,1,it was amazing 5.00,3
749,Earth Flight ,Earth Girl ,3,Janet  Edwards,99,1, 4.27,1306
749,The Fifth Sacred Thing,,,Starhawk,99,1, 4.25,5277
749,Starfighter Chapter 3 ,Starfighter ,3,Hamlet Machine,99,1, 4.24,507
749,Armstrong Dent and the Death Blow ,,,Aeyess,99,1, 4.12,8
749,Forever Between ,Between Life and Death ,2,Ann Christy,99,1, 4.44,195
749,The Return,,,Christy  Newman,99,1, 4.42,19
749,Roth ,The Invasion Trilogy ,,Jessica Frances,99,1, 4.19,42
749,Dreams of Origami,,,Elenor Gill,99,1, 3.93,28
749,Writers Workshop of Science Fiction & Fantasy,,,Michael Knost,99,1, 4.17,87
749,Selling Mars ,Veetu Industries ,2,Rae Gee,99,1, 4.09,22
749,Rosehead,,,Ksenia Anske,99,1, 4.13,365
749,Homo Ex Machina,,,Clea Saal,99,1,really liked it 4.00,
749,Ecstatic Inferno,,,Autumn Christian,99,1, 4.64,55
749,Red Queen ,Red Queen ,1,Victoria Aveyard,99,1, 4.06,445117
749,Beating Heart Cadavers,,,Laura Giebfried,99,1, 4.36,11
749,For the Honor of Black Roses ,The Protectorit ,2,K.L. Tharp,99,1, 4.41,64
749,Grasp the Stars,,,Jennifer Wingert,99,1, 3.59,81
749,Proof of Concept,,,Gwyneth Jones,99,1, 3.06,210
749,No Plain Rebel ,No Ordinary Star ,2,M.C. Frank,99,1, 4.27,129
749,When the Earth Had a Moon ,,,A.M. Cunning,99,1, 3.60,35
749,Touch,,,Claire North,99,1, 3.80,8690
749,Crypto,,,B.C. Nyren,99,1, 3.82,17
