Song title,URL,Popularity,Year
Get Up Lyrics,http://www.metrolyrics.com/get-up-lyrics-rem.html,6,2011
Ghost Rider Lyrics,http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,6,2006
Good Advices Lyrics,http://www.metrolyrics.com/good-advices-lyrics-rem.html,6,2006
Green Grow The Rushes Lyrics,http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,13.726078121136,2006
Hairshirt Lyrics,http://www.metrolyrics.com/hairshirt-lyrics-rem.html,6,2006
Half A World Away Lyrics,http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,6,2014
Hallellujah Lyrics,http://www.metrolyrics.com/hallellujah-lyrics-rem.html,6,2011
Hallelujah Lyrics,http://www.metrolyrics.com/hallelujah-lyrics-rem.html,6,2011
Harborcoat Lyrics,http://www.metrolyrics.com/harborcoat-lyrics-rem.html,6,2006
"Hey, Hey, Nadine Lyrics",http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,6,2006
High Speed Train Lyrics,http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,6,2004
Hollow Man Lyrics,http://www.metrolyrics.com/hollow-man-lyrics-rem.html,27.452156242272,2008
Hope Lyrics,http://www.metrolyrics.com/hope-lyrics-rem.html,6,2006
Horse To Water Lyrics,http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,21.755319103969,2008
Houston Lyrics,http://www.metrolyrics.com/houston-lyrics-rem.html,13.726078121136,2008
How The West Was Won And Where It Got Us Lyrics,http://www.metrolyrics.com/how-the-west-was-won-and-where-it-got-us-lyrics-rem.html,6,2006
Hyena Lyrics,http://www.metrolyrics.com/hyena-lyrics-rem.html,13.726078121136,2006
I Believe Lyrics,http://www.metrolyrics.com/i-believe-lyrics-rem.html,21.755319103969,2006
"I Don't Sleep, I Dream Lyrics",http://www.metrolyrics.com/i-dont-sleep-i-dream-lyrics-rem.html,6,2006
I Remember California Lyrics,http://www.metrolyrics.com/i-remember-california-lyrics-rem.html,6,2006
I Took Your Name Lyrics,http://www.metrolyrics.com/i-took-your-name-lyrics-rem.html,6,2006
I Walked With A Zombie Lyrics,http://www.metrolyrics.com/i-walked-with-a-zombie-lyrics-rem.html,6,2006
I Wanted to Be Wrong Lyrics,http://www.metrolyrics.com/i-wanted-to-be-wrong-lyrics-rem.html,6,2004
I'll Take The Rain Lyrics,http://www.metrolyrics.com/ill-take-the-rain-lyrics-rem.html,6,2014
I'm Gonna DJ Lyrics,http://www.metrolyrics.com/im-gonna-dj-lyrics-rem.html,6,2008
I'm Not Over You Lyrics,http://www.metrolyrics.com/im-not-over-you-lyrics-rem.html,6,2006
I've Been High Lyrics,http://www.metrolyrics.com/ive-been-high-lyrics-rem.html,6,2014
Ignoreland Lyrics,http://www.metrolyrics.com/ignoreland-lyrics-rem.html,35.481397225105,2006
Imitation Of Life Lyrics,http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,38.533972973918,2003
It Happened Today Lyrics,http://www.metrolyrics.com/it-happened-today-lyrics-rem.html,6,2011
It Happens Today Lyrics,http://www.metrolyrics.com/it-happens-today-lyrics-rem.html,6,2011
It's A Free World Baby Lyrics,http://www.metrolyrics.com/its-a-free-world-baby-lyrics-rem.html,6,2006
It's The End Of The World Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,100,2008
It's The End of The World as We Know It Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,38.533972973918,2008
It's The End Of The World As We Know It (and I Feel Fine) Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,57.236716329075,2014
