name,URL,city,state
"Ventura Gem & Mineral Society, Inc",http://vgms.org/,Ventura,California
Victor Valley Gem and Mineral Club,http://www.vvgmc.org/,Victorville,California
Vista Gem & Mineral Society,http://www.vistarocks.org/,Vista,California
West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/,Garden Grove,California
West End Prospectors Corporation,http://www.wepcgold.com,Norco,California
"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html,Whittier,California
"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/,San Fernando Valley,California
Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/,Yucaipa,California
Canon City Geology Club,http://www.canoncitygeologyclub.com/,Canon City,Colorado
Colorado Gold Camp,http://coloradogoldcamp.com/,Frisco,Colorado
Colorado Mineral Society,http://www.coloradomineralsociety.org/,Lakewood,Colorado
Colorado Prospector,http://www.coloradoprospector.com/,Alamosa,Colorado
Colorado Springs Mineral Society,http://www.csms1936.com/,Colorado Springs,Colorado
Columbine Gem and Mineral Society,http://rockaholics.org/,Salida,Colorado
Denver Gem and Mineral Guild,http://denvergem.org/index.html,Denver,Colorado
Flatirons Mineral Club,http://flatironsmineralclub.org/,Boulder,Colorado
Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/,Fort Collins,Colorado
Four Corners Gem & Mineral Club,http://www.durangorocks.org/,Durango,Colorado
Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/,Denver,Colorado
Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/,Grand Junction,Colorado
Lake George Gem & Mineral club,http://www.lggmclub.org/,Lake George,Colorado
"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/,Littleton,Colorado
Mile High Rock and Mineral Society,http://www.milehirams.com/,Arvada,Colorado
North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php,Arvada,Colorado
Pueblo Rockhounds,http://www.pueblorockhounds.org/,Pueblo,Colorado
Western Interior Paleontological Society,http://www.westernpaleo.org/,Denver,Colorado
Bristol Gem & Mineral Club,http://bristolgem.org/,Bristol,Connecticut
Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/,Danbury,Connecticut
Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/,Meriden,Connecticut
New Haven Mineral Club,http://www.newhavenmineralclub.org/,New Haven,Connecticut
Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/,Stamford,Connecticut
"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/,Wilmington,Delaware
Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/,Melbourne,Florida
Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/,Merritt Island,Florida
Central Florida Mineral and Gem Society,http://www.cfmgs.org/,Winter Park,Florida
Florida Fossil Hunters,http://floridafossilhunters.com/,Orlando,Florida
Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/,Hollywood,Florida
Fossil Club of Lee County,http://www.fcolc.com/,Ft. Myers,Florida
Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/,Gainesville,Florida
Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/,West Palm Beach,Florida
"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/,Lakeland,Florida
"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/,Jacksonville,Florida
"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/,Miami,Florida
Playground Gem and Mineral Society,http://playgroundgem.org/,Ft. Walton Beach,Florida
Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/,Punta Gorda,Florida
St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/,Port St Lucie,Florida
Suncoast Gem and Mineral Society,http://sgams.com/,St Petersburg,Florida
Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/,Palm Harbor,Florida
"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/,Tampa,Florida
The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/,The Villages,Florida
Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html,Palm Coast,Florida
Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/,Spring Hill,Florida
Athens Rock and Gem Club,http://www.athensrockandgemclub.org/,Athens,Georgia
Augusta Gem & Mineral Society,http://agams.club/,Augusta,Georgia
Cobb County Gem and Mineral Society,https://www.ccgms.org/,Marietta,Georgia
"Georgia Mineral Society, Inc.",http://www.gamineral.org/,Norcross,Georgia
Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/,Macon,Georgia
Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/,Rome,Georgia
"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,Honolulu,Hawaii
"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/,Lewiston,Idaho
Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/,Idaho Falls,Idaho
"Idaho Gem Club, Inc.",http://www.idahogemclub.com/,Boise,Idaho
Magic Valley Gem Club,http://magicvalleygemclub.org/,Twin Falls,Idaho
North Idaho Mineral Club,http://www.northidahomineralclub.com/,Coeur d'Alene,Idaho
Owyhee Gem & Mineral Society,http://www.owyheerocks.com/,Caldwell,Idaho
Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/,Oldtown,Idaho
Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS,Boise,Idaho
Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/,Rock Island,Illinois
Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc,Decatur,Illinois
